Ref;Doi;Cat;Crop;Sowing_month;Irrigation;Continent;Country;Location;Latitude;Longitude;Scale;Region_map;Scale_map;y_map;x_map;Time_period;Future_time_slice1;Future_time_slice2;Baseline_time_slice1;Baseline_time_slice2;Future_midpoint;Baseline_midpoint;Scenario;GCM;Rainfall_change;Mean_T_change;Future_CO2;Model_name;Model_cat;Climate_factors;Param_assessed;Adapt_tested;Variable;Unit;Baseline_no_adapt;CC_no_adapt;CC_impact;CC_impact_cat;Baseline_adapt;CC_adapt;Adapt_impact;Adapt_impact_cat;Adapt_type;No_adapt_treatment;Adapt_treatment;Remarks;Data_source
Tovjanin et al. 2019;10.28974/idojaras.2019.4.4;Impact;Soybean;April;Irrigated;Europe;Serbia;Rimski Sancevi;45,2;19,51;Spot;RS12;Nuts2;;;Far;2041;2070;1961;1990;2055;1975;A2;ECHAM;-0,064;2,3;560;Aquacrop;Process-based model;Temperature/Rainfall/CO2/Water stress;Grain yield/IWUE/Irrigation demand;;Yield;tDM/ha;4,3;6,254;0,45;Positive;;;;;;;;;
Tovjanin et al. 2019;10.28974/idojaras.2019.4.4;Impact;Soybean;April;Irrigated;Europe;Serbia;Rimski Sancevi;45,2;19,51;Spot;RS12;Nuts2;;;Far;2070;2100;1961;1990;2085;1975;A2;ECHAM;-0,194;4,1;734,5;Aquacrop;Process-based model;Temperature/Rainfall/CO2/Water stress;Grain yield/IWUE/Irrigation demand;;Yield;tDM/ha;4,3;7,09;0,65;Positive;;;;;;;;;
Mihailovic et al. 2015;10.1002/joc.4209;Impact/Adapt;Soybean;;Irrigated;Europe;Serbia;Beogradski region;;;Country;RS11;Nuts2;;;Near;2001;2030;1961;1990;2015;1975;A1B;ECHAM5/MPI-OM;;;;DSSAT;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Change in yield;Irrigation;;;;;0,67;Positive;;;;;;;;;
Mihailovic et al. 2015;10.1002/joc.4209;Impact/Adapt;Soybean;;Irrigated;Europe;Serbia;Region Vojvodine;;;Country;RS12;Nuts2;;;Near;2001;2030;1961;1990;2015;1975;A1B;ECHAM5/MPI-OM;;;;DSSAT;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Change in yield;Irrigation;;;;;0,21;Positive;;;;;;;;;
Mihailovic et al. 2015;10.1002/joc.4209;Impact/Adapt;Soybean;;Irrigated;Europe;Serbia;Region Šumadije i Zapadne Srbije;;;Country;RS21;Nuts2;;;Near;2001;2030;1961;1990;2015;1975;A1B;ECHAM5/MPI-OM;;;;DSSAT;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Change in yield;Irrigation;;;;;0,67;Positive;;;;;;;;;
Mihailovic et al. 2015;10.1002/joc.4209;Impact/Adapt;Soybean;;Irrigated;Europe;Serbia;Region Južne i Isto?ne Srbije;;;Country;RS22;Nuts2;;;Near;2001;2030;1961;1990;2015;1975;A1B;ECHAM5/MPI-OM;;;;DSSAT;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Change in yield;Irrigation;;;;;0,67;Positive;;;;;;;;;
Mihailovic et al. 2015;10.1002/joc.4209;Impact/Adapt;Soybean;;Irrigated;Europe;Serbia;Beogradski region;;;Country;RS11;Nuts2;;;Far;2071;2100;1961;1990;2085;1975;A2;ECHAM5/MPI-OM;;;;DSSAT;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Change in yield;Irrigation;;;;;;Positive;;;;;;;;;
Mihailovic et al. 2015;10.1002/joc.4209;Impact/Adapt;Soybean;;Irrigated;Europe;Serbia;Region Vojvodine;;;Country;RS12;Nuts2;;;Far;2071;2100;1961;1990;2085;1975;A2;ECHAM5/MPI-OM;;;;DSSAT;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Change in yield;Irrigation;;;;;;Negative;;;;;;;;;
Mihailovic et al. 2015;10.1002/joc.4209;Impact/Adapt;Soybean;;Irrigated;Europe;Serbia;Region Šumadije i Zapadne Srbije;;;Country;RS21;Nuts2;;;Far;2071;2100;1961;1990;2085;1975;A2;ECHAM5/MPI-OM;;;;DSSAT;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Change in yield;Irrigation;;;;;;Positive;;;;;;;;;
Mihailovic et al. 2015;10.1002/joc.4209;Impact/Adapt;Soybean;;Irrigated;Europe;Serbia;Region Južne i Isto?ne Srbije;;;Country;RS22;Nuts2;;;Far;2071;2100;1961;1990;2085;1975;A2;ECHAM5/MPI-OM;;;;DSSAT;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Change in yield;Irrigation;;;;;;Negative;;;;;;;;;
Mihailovic et al. 2015;10.1002/joc.4209;Impact/Adapt;Soybean;;Rainfed;Europe;Serbia;;;;Country;;;44;21;Far;2071;2100;1961;1990;2085;1975;A2;ECHAM5/MPI-OM;;;;DSSAT;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Change in yield;Irrigation;Yield change;;100;136;0,36;Positive;;156;0,147058824;Positive;Irrigation;Rainfed;;;
Mihailovic et al. 2015;10.1002/joc.4209;Impact/Adapt;Soybean;;Rainfed;Europe;Serbia;;;;Country;;;44;21;Near;2001;2030;1961;1990;2015;1975;A1B;ECHAM5/MPI-OM;;;;DSSAT;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Change in yield;Irrigation;Yield change;;100;104;0,04;Neutral;;123;0,182692308;Positive;Irrigation;Rainfed;;;
Jancic et al. 2015;10.1017/S0021859615000179;Impact;Soybean;April;Irrigated;Europe;Serbia;Cuprija;43,55;21,22;Country;RS;Country;;;Near;2030;2030;1971;2000;2030;1985;A1B;ECHAM;-13,9;1,2;454;SOYGRO;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Grain yield/Water productivity/Irrigation demand;;Yield;tDM/ha;3,936394132;4,841764782;0,23;Positive;;;;;;;;;
Jancic et al. 2015;10.1017/S0021859615000179;Impact;Soybean;April;Irrigated;Europe;Serbia;Cuprija;43,55;21,22;Country;RS;Country;;;Near;2030;2030;1971;2000;2030;1985;A2;ECHAM;-16,4;1,5;451;SOYGRO;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Grain yield/Water productivity/Irrigation demand;;Yield;tDM/ha;3,996001404;4,915081727;0,23;Positive;;;;;;;;;
Jancic et al. 2015;10.1017/S0021859615000179;Impact;Soybean;April;Irrigated;Europe;Serbia;Cuprija;43,55;21,22;Country;RS;Country;;;Near;2050;2050;1971;2000;2050;1985;A1B;ECHAM;-23,5;2,3;532;SOYGRO;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Grain yield/Water productivity/Irrigation demand;;Yield;tDM/ha;3,958988175;5,384223919;0,36;Positive;;;;;;;;;
Jancic et al. 2015;10.1017/S0021859615000179;Impact;Soybean;April;Irrigated;Europe;Serbia;Cuprija;43,55;21,22;Country;RS;Country;;;Near;2050;2050;1971;2000;2050;1985;A2;ECHAM;-27,4;2,7;532;SOYGRO;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Grain yield/Water productivity/Irrigation demand;;Yield;tDM/ha;3,9653654;5,472204252;0,38;Positive;;;;;;;;;
Jancic et al. 2015;10.1017/S0021859615000179;Impact;Soybean;April;Irrigated;Europe;Serbia;Dimitrovgrad;43,01;22,45;Country;RS;Country;;;Near;2030;2030;1971;2000;2030;1985;A1B;ECHAM;-19,5;1,3;454;SOYGRO;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Grain yield/Water productivity/Irrigation demand;;Yield;tDM/ha;3,399367178;4,827101393;0,42;Positive;;;;;;;;;
Jancic et al. 2015;10.1017/S0021859615000179;Impact;Soybean;April;Irrigated;Europe;Serbia;Dimitrovgrad;43,01;22,45;Country;RS;Country;;;Near;2030;2030;1971;2000;2030;1985;A2;ECHAM;-22,5;1,5;451;SOYGRO;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Grain yield/Water productivity/Irrigation demand;;Yield;tDM/ha;3,389711536;4,915081727;0,45;Positive;;;;;;;;;
Jancic et al. 2015;10.1017/S0021859615000179;Impact;Soybean;April;Irrigated;Europe;Serbia;Dimitrovgrad;43,01;22,45;Country;RS;Country;;;Near;2050;2050;1971;2000;2050;1985;A1B;ECHAM;-31,4;2,4;532;SOYGRO;Process-based model;Temperature/Rainfall/CO2/Temperature stress;Grain yield/Water productivity/Irrigation demand;;Yield;tDM/ha;3,389776934;5,457540863;0,61;Positive;;;;;;;;;
