Var;Geo;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Area (1000ha);European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020);580,85;893,39;831,18;962,39;955,4;907,91;942,85;;1091,92;
Area (1000ha);European Union - 27 countries (from 2020);580,85;893,39;831,18;962,39;955,4;907,91;942,85;;1091,92;
Area (1000ha);European Union - 28 countries (2013-2020);580,85;893,39;831,18;962,39;955,4;907,91;;;;
Area (1000ha);Belgium;0;0;0;0;0;0;0;0;0;0
Area (1000ha);Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest;0;0;0;0;0;0;0;0;0;0
Area (1000ha);Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest;0;0;0;0;0;0;0;0;0;0
Area (1000ha);Vlaams Gewest;0;0;0;0;0;0;0;0;0;0
Area (1000ha);Prov. Antwerpen;0;0;0;0;0;0;0;0;0;0
Area (1000ha);Prov. Limburg (BE);0;0;0;0;0;0;0;0;0;0
Area (1000ha);Prov. Oost-Vlaanderen;0;0;0;0;0;0;0;0;0;0
Area (1000ha);Prov. Vlaams-Brabant;0;0;0;0;0;0;0;0;0;0
Area (1000ha);Prov. West-Vlaanderen;0;0;0;0;0;0;0;0;0;0
Area (1000ha);Région wallonne;0;0;0;0;0;0;0;0;0;0
Area (1000ha);Prov. Brabant Wallon;0;0;0;0;0;0;0;0;0;0
Area (1000ha);Prov. Hainaut;0;0;0;0;0;0;0;0;0;0
Area (1000ha);Prov. Liège;0;0;0;0;0;0;0;0;0;0
Area (1000ha);Prov. Luxembourg (BE);0;0;0;0;0;0;0;0;0;0
Area (1000ha);Prov. Namur;0;0;0;0;0;0;0;0;0;0
Area (1000ha);Extra-Regio NUTS 1;;0;0;0;0;0;0;0;0;0
Area (1000ha);Extra-Regio NUTS 2;;0;0;0;0;0;0;0;0;0
Area (1000ha);Bulgaria;0,31;34,47;14,16;11,53;2,32;3,86;4,51;1,99;9;9
Area (1000ha);Severna i yugoiztochna Bulgaria;0,26;32,89;13,66;11,5;;;3,91;;;
Area (1000ha);Severozapaden;;9,3;3,88;7,63;;;1,66;;;
Area (1000ha);Severen tsentralen;0,16;11,84;5,88;2,54;;;1,31;;;
Area (1000ha);Severoiztochen;;10,01;3,38;1,07;;;0,23;;;
Area (1000ha);Yugoiztochen;0;1,74;0,52;0,27;;;0,72;;;
Area (1000ha);Yugozapadna i yuzhna tsentralna Bulgaria;0,04;1,58;0,5;0,03;;;0,6;;;
Area (1000ha);Yugozapaden;;0,36;0,21;0,03;;;;;;
Area (1000ha);Yuzhen tsentralen;;1,22;0,29;0;;;;;;
Area (1000ha);Extra-Regio NUTS 1;;;;;;;;;;
Area (1000ha);Extra-Regio NUTS 2;;;;;;;;;;
Area (1000ha);Severna Bulgaria (statistical region 2005);;;;;;;;;;
Area (1000ha);Czechia;7,24;12,31;10,61;15,34;15,23;12,24;14,15;19,68;28,54;26,49
Area (1000ha);Cesko;7,24;12,31;10,61;15,34;15,23;12,24;14,15;19,68;;
Area (1000ha);Praha;0,21;0,37;0,17;0,31;0,15;0,15;0,11;0,19;;
Area (1000ha);Střední Čechy;1,65;2,61;2,33;2,91;3,51;2,59;2,78;3,85;;
