Domain Code;Domain;Area Code (M49);Area;Element Code;Element;Item Code (CPC);Item;Year Code;Year;Unit;Value;Flag;Flag Description;
QCL;Crops and livestock products;8;Albania;5312;Area harvested;141;Soya beans;2010;2010;ha;300;A;Official figure;
QCL;Crops and livestock products;8;Albania;5312;Area harvested;141;Soya beans;2011;2011;ha;324;A;Official figure;
QCL;Crops and livestock products;8;Albania;5312;Area harvested;141;Soya beans;2012;2012;ha;300;A;Official figure;
QCL;Crops and livestock products;8;Albania;5312;Area harvested;141;Soya beans;2013;2013;ha;300;A;Official figure;
QCL;Crops and livestock products;8;Albania;5312;Area harvested;141;Soya beans;2014;2014;ha;207;A;Official figure;
QCL;Crops and livestock products;8;Albania;5312;Area harvested;141;Soya beans;2015;2015;ha;200;A;Official figure;
QCL;Crops and livestock products;8;Albania;5312;Area harvested;141;Soya beans;2016;2016;ha;264;A;Official figure;
QCL;Crops and livestock products;8;Albania;5312;Area harvested;141;Soya beans;2017;2017;ha;227;A;Official figure;
QCL;Crops and livestock products;8;Albania;5312;Area harvested;141;Soya beans;2018;2018;ha;253;A;Official figure;
QCL;Crops and livestock products;8;Albania;5312;Area harvested;141;Soya beans;2019;2019;ha;219;A;Official figure;
QCL;Crops and livestock products;8;Albania;5312;Area harvested;141;Soya beans;2020;2020;ha;171;A;Official figure;
QCL;Crops and livestock products;8;Albania;5312;Area harvested;141;Soya beans;2021;2021;ha;155;A;Official figure;
QCL;Crops and livestock products;8;Albania;5419;Yield;141;Soya beans;2010;2010;hg/ha;16667;A;Official figure;
QCL;Crops and livestock products;8;Albania;5419;Yield;141;Soya beans;2011;2011;hg/ha;18519;A;Official figure;
QCL;Crops and livestock products;8;Albania;5419;Yield;141;Soya beans;2012;2012;hg/ha;13333;A;Official figure;
QCL;Crops and livestock products;8;Albania;5419;Yield;141;Soya beans;2013;2013;hg/ha;10000;A;Official figure;
QCL;Crops and livestock products;8;Albania;5419;Yield;141;Soya beans;2014;2014;hg/ha;16908;A;Official figure;
QCL;Crops and livestock products;8;Albania;5419;Yield;141;Soya beans;2015;2015;hg/ha;25000;A;Official figure;
QCL;Crops and livestock products;8;Albania;5419;Yield;141;Soya beans;2016;2016;hg/ha;25152;A;Official figure;
QCL;Crops and livestock products;8;Albania;5419;Yield;141;Soya beans;2017;2017;hg/ha;22026;A;Official figure;
QCL;Crops and livestock products;8;Albania;5419;Yield;141;Soya beans;2018;2018;hg/ha;29407;A;Official figure;
QCL;Crops and livestock products;8;Albania;5419;Yield;141;Soya beans;2019;2019;hg/ha;27626;A;Official figure;
QCL;Crops and livestock products;8;Albania;5419;Yield;141;Soya beans;2020;2020;hg/ha;25789;A;Official figure;
QCL;Crops and livestock products;8;Albania;5419;Yield;141;Soya beans;2021;2021;hg/ha;24142;A;Official figure;
QCL;Crops and livestock products;8;Albania;5510;Production;141;Soya beans;2010;2010;tonnes;500;A;Official figure;
QCL;Crops and livestock products;8;Albania;5510;Production;141;Soya beans;2011;2011;tonnes;600;A;Official figure;
QCL;Crops and livestock products;8;Albania;5510;Production;141;Soya beans;2012;2012;tonnes;400;A;Official figure;
QCL;Crops and livestock products;8;Albania;5510;Production;141;Soya beans;2013;2013;tonnes;300;A;Official figure;
QCL;Crops and livestock products;8;Albania;5510;Production;141;Soya beans;2014;2014;tonnes;350;A;Official figure;
QCL;Crops and livestock products;8;Albania;5510;Production;141;Soya beans;2015;2015;tonnes;500;A;Official figure;
QCL;Crops and livestock products;8;Albania;5510;Production;141;Soya beans;2016;2016;tonnes;664;A;Official figure;
QCL;Crops and livestock products;8;Albania;5510;Production;141;Soya beans;2017;2017;tonnes;500;A;Official figure;
QCL;Crops and livestock products;8;Albania;5510;Production;141;Soya beans;2018;2018;tonnes;744;A;Official figure;
QCL;Crops and livestock products;8;Albania;5510;Production;141;Soya beans;2019;2019;tonnes;605;A;Official figure;
QCL;Crops and livestock products;8;Albania;5510;Production;141;Soya beans;2020;2020;tonnes;441;A;Official figure;
QCL;Crops and livestock products;8;Albania;5510;Production;141;Soya beans;2021;2021;tonnes;373;A;Official figure;
QCL;Crops and livestock products;40;Austria;5312;Area harvested;141;Soya beans;2010;2010;ha;34378;A;Official figure;
QCL;Crops and livestock products;40;Austria;5312;Area harvested;141;Soya beans;2011;2011;ha;38123;A;Official figure;
QCL;Crops and livestock products;40;Austria;5312;Area harvested;141;Soya beans;2012;2012;ha;37126;A;Official figure;
QCL;Crops and livestock products;40;Austria;5312;Area harvested;141;Soya beans;2013;2013;ha;42027;A;Official figure;
QCL;Crops and livestock products;40;Austria;5312;Area harvested;141;Soya beans;2014;2014;ha;43832;A;Official figure;
QCL;Crops and livestock products;40;Austria;5312;Area harvested;141;Soya beans;2015;2015;ha;56895;A;Official figure;
QCL;Crops and livestock products;40;Austria;5312;Area harvested;141;Soya beans;2016;2016;ha;49791;A;Official figure;
QCL;Crops and livestock products;40;Austria;5312;Area harvested;141;Soya beans;2017;2017;ha;64467;A;Official figure;
QCL;Crops and livestock products;40;Austria;5312;Area harvested;141;Soya beans;2018;2018;ha;67620;A;Official figure;
QCL;Crops and livestock products;40;Austria;5312;Area harvested;141;Soya beans;2019;2019;ha;69210;A;Official figure;
QCL;Crops and livestock products;40;Austria;5312;Area harvested;141;Soya beans;2020;2020;ha;68500;A;Official figure;
QCL;Crops and livestock products;40;Austria;5312;Area harvested;141;Soya beans;2021;2021;ha;76740;A;Official figure;
QCL;Crops and livestock products;40;Austria;5419;Yield;141;Soya beans;2010;2010;hg/ha;27501;A;Official figure;
QCL;Crops and livestock products;40;Austria;5419;Yield;141;Soya beans;2011;2011;hg/ha;28691;A;Official figure;
QCL;Crops and livestock products;40;Austria;5419;Yield;141;Soya beans;2012;2012;hg/ha;28051;A;Official figure;
QCL;Crops and livestock products;40;Austria;5419;Yield;141;Soya beans;2013;2013;hg/ha;19697;A;Official figure;
QCL;Crops and livestock products;40;Austria;5419;Yield;141;Soya beans;2014;2014;hg/ha;26951;A;Official figure;
QCL;Crops and livestock products;40;Austria;5419;Yield;141;Soya beans;2015;2015;hg/ha;23938;A;Official figure;
QCL;Crops and livestock products;40;Austria;5419;Yield;141;Soya beans;2016;2016;hg/ha;30648;A;Official figure;
QCL;Crops and livestock products;40;Austria;5419;Yield;141;Soya beans;2017;2017;hg/ha;30002;A;Official figure;
QCL;Crops and livestock products;40;Austria;5419;Yield;141;Soya beans;2018;2018;hg/ha;27579;A;Official figure;
QCL;Crops and livestock products;40;Austria;5419;Yield;141;Soya beans;2019;2019;hg/ha;31467;A;Official figure;
QCL;Crops and livestock products;40;Austria;5419;Yield;141;Soya beans;2020;2020;hg/ha;29907;A;Official figure;
QCL;Crops and livestock products;40;Austria;5419;Yield;141;Soya beans;2021;2021;hg/ha;30992;A;Official figure;
QCL;Crops and livestock products;40;Austria;5510;Production;141;Soya beans;2010;2010;tonnes;94544;A;Official figure;
QCL;Crops and livestock products;40;Austria;5510;Production;141;Soya beans;2011;2011;tonnes;109378;A;Official figure;
QCL;Crops and livestock products;40;Austria;5510;Production;141;Soya beans;2012;2012;tonnes;104143;A;Official figure;
QCL;Crops and livestock products;40;Austria;5510;Production;141;Soya beans;2013;2013;tonnes;82780;A;Official figure;
QCL;Crops and livestock products;40;Austria;5510;Production;141;Soya beans;2014;2014;tonnes;118132.03;A;Official figure;
QCL;Crops and livestock products;40;Austria;5510;Production;141;Soya beans;2015;2015;tonnes;136195.2;A;Official figure;
QCL;Crops and livestock products;40;Austria;5510;Production;141;Soya beans;2016;2016;tonnes;152598.63;A;Official figure;
QCL;Crops and livestock products;40;Austria;5510;Production;141;Soya beans;2017;2017;tonnes;193416;A;Official figure;
QCL;Crops and livestock products;40;Austria;5510;Production;141;Soya beans;2018;2018;tonnes;186490;A;Official figure;
QCL;Crops and livestock products;40;Austria;5510;Production;141;Soya beans;2019;2019;tonnes;217780;A;Official figure;
